i:  10600, t:    35601.3 s (0.80 periods), wall: 23.094 minutes, Δt:   1.39, CFL: 7.20e-01
i:  10700, t:    35749.5 s (0.80 periods), wall: 23.309 minutes, Δt:   1.61, CFL: 7.20e-01
i:  10800, t:    35886.8 s (0.80 periods), wall: 23.523 minutes, Δt:   1.56, CFL: 7.20e-01
i:  10900, t:    36023.6 s (0.81 periods), wall: 23.738 minutes, Δt:   1.60, CFL: 7.20e-01
i:  11000, t:    36179.4 s (0.81 periods), wall: 23.953 minutes, Δt:   1.49, CFL: 7.20e-01
i:  11100, t:    36329.9 s (0.81 periods), wall: 24.167 minutes, Δt:   1.52, CFL: 7.20e-01
i:  11200, t:    36487.5 s (0.82 periods), wall: 24.380 minutes, Δt:   1.56, CFL: 7.20e-01
i:  11300, t:    36656.3 s (0.82 periods), wall: 24.595 minutes, Δt:   1.70, CFL: 7.20e-01
i:  11400, t:    36828.0 s (0.83 periods), wall: 24.808 minutes, Δt:   1.70, CFL: 7.20e-01
i:  11500, t:    36978.9 s (0.83 periods), wall: 25.023 minutes, Δt:   1.38, CFL: 7.20e-01
i:  11600, t:    37148.3 s (0.83 periods), wall: 25.238 minutes, Δt:   1.59, CFL: 7.20e-01
i:  11700, t:    37310.3 s (0.84 periods), wall: 25.454 minutes, Δt:   1.80, CFL: 7.20e-01
i:  11800, t:    37473.0 s (0.84 periods), wall: 25.667 minutes, Δt:   1.73, CFL: 7.20e-01
i:  11900, t:    37638.8 s (0.84 periods), wall: 25.883 minutes, Δt:   1.61, CFL: 7.20e-01
i:  12000, t:    37814.9 s (0.85 periods), wall: 26.098 minutes, Δt:   1.79, CFL: 7.20e-01
i:  12100, t:    37968.1 s (0.85 periods), wall: 26.313 minutes, Δt:   1.71, CFL: 7.20e-01
i:  12200, t:    38120.4 s (0.85 periods), wall: 26.526 minutes, Δt:   1.75, CFL: 7.20e-01
i:  12300, t:    38293.6 s (0.86 periods), wall: 26.742 minutes, Δt:   1.78, CFL: 7.20e-01
i:  12400, t:    38486.7 s (0.86 periods), wall: 26.957 minutes, Δt:   2.06, CFL: 7.20e-01
i:  12500, t:    38671.1 s (0.87 periods), wall: 27.172 minutes, Δt:   1.47, CFL: 7.20e-01
i:  12600, t:    38842.6 s (0.87 periods), wall: 27.387 minutes, Δt:   1.86, CFL: 7.20e-01
i:  12700, t:    39046.5 s (0.87 periods), wall: 27.601 minutes, Δt:   2.38, CFL: 7.20e-01
i:  12800, t:    39229.3 s (0.88 periods), wall: 27.816 minutes, Δt:   1.28, CFL: 7.20e-01
i:  12900, t:    39400.1 s (0.88 periods), wall: 28.032 minutes, Δt:   2.08, CFL: 7.20e-01
i:  13000, t:    39603.0 s (0.89 periods), wall: 28.247 minutes, Δt:   1.81, CFL: 7.20e-01
i:  13100, t:    39786.7 s (0.89 periods), wall: 28.462 minutes, Δt:   2.05, CFL: 7.20e-01
i:  13200, t:    40027.6 s (0.90 periods), wall: 28.677 minutes, Δt:   2.32, CFL: 7.20e-01
i:  13300, t:    40250.9 s (0.90 periods), wall: 28.892 minutes, Δt:   2.26, CFL: 7.20e-01
i:  13400, t:    40474.4 s (0.91 periods), wall: 29.103 minutes, Δt:   2.57, CFL: 7.20e-01
i:  13500, t:    40708.6 s (0.91 periods), wall: 29.319 minutes, Δt:   2.55, CFL: 7.20e-01
i:  13600, t:    40953.9 s (0.92 periods), wall: 29.534 minutes, Δt:   2.29, CFL: 7.20e-01
i:  13700, t:    41165.2 s (0.92 periods), wall: 29.749 minutes, Δt:   1.94, CFL: 7.20e-01
