
==============================================================================
==== 2026-09-10 23:50:55  P4_T10_r0.2  (r = 0.2, T = 10.0)
==============================================================================
ekmanrun.jl case P4_T10_r0.2
  architecture      GPU
  dimensions        75.0 m x 75.0 m x 150.0 m  (+ 20 m sponge, H = 170 m)
  grid              100 x 100 x 400   (first centre at z = 0.1182 m)
  U∞  = 0.0400   f₀ = 1.00e-04   r = N/f = 0.2   N² = 4.000e-10
  profile 4 (softplus), T = 10.0 m, sharp = 6.0
  cᴰ  = 0.00908   ν₀ = 1.0e-06   κ₀ = 1.0e-07   Pr = 10
  duration 1.600e+06 s = 25.46 inertial periods, max Δt = 15 s
  moments every 314 s, x-z slices off, Avg_* writers ON
i:   10200, sim time:     97988 (1.56 T_f), wall: 7.992 minutes, Δt:   9.78, CFL: 9.00e-01
i:   10300, sim time:     98893 (1.57 T_f), wall: 8.050 minutes, Δt:   9.50, CFL: 9.00e-01
i:   10400, sim time:     99840 (1.59 T_f), wall: 8.107 minutes, Δt:   9.80, CFL: 9.00e-01
i:   10500, sim time:    100779 (1.60 T_f), wall: 8.157 minutes, Δt:   9.93, CFL: 9.00e-01
i:   10600, sim time:    101710 (1.62 T_f), wall: 8.215 minutes, Δt:   9.72, CFL: 9.00e-01
i:   10700, sim time:    102620 (1.63 T_f), wall: 8.287 minutes, Δt:  10.02, CFL: 9.00e-01
i:   10800, sim time:    103560 (1.65 T_f), wall: 8.338 minutes, Δt:  10.03, CFL: 9.00e-01
i:   10900, sim time:    104495 (1.66 T_f), wall: 8.394 minutes, Δt:   9.65, CFL: 9.00e-01
i:   11000, sim time:    105380 (1.68 T_f), wall: 8.448 minutes, Δt:   9.99, CFL: 9.00e-01
i:   11100, sim time:    106320 (1.69 T_f), wall: 8.517 minutes, Δt:  10.03, CFL: 9.00e-01
i:   11200, sim time:    107241 (1.71 T_f), wall: 8.572 minutes, Δt:   9.92, CFL: 9.00e-01
i:   11300, sim time:    108197 (1.72 T_f), wall: 8.626 minutes, Δt:   9.40, CFL: 9.00e-01
i:   11400, sim time:    109074 (1.74 T_f), wall: 8.675 minutes, Δt:   9.39, CFL: 9.00e-01
i:   11500, sim time:    109990 (1.75 T_f), wall: 8.732 minutes, Δt:  10.00, CFL: 9.00e-01
i:   11600, sim time:    110851 (1.76 T_f), wall: 8.797 minutes, Δt:   9.40, CFL: 9.00e-01
i:   11700, sim time:    111727 (1.78 T_f), wall: 8.846 minutes, Δt:   9.44, CFL: 9.00e-01
i:   11800, sim time:    112619 (1.79 T_f), wall: 8.916 minutes, Δt:   9.55, CFL: 9.00e-01
i:   11900, sim time:    113520 (1.81 T_f), wall: 8.975 minutes, Δt:  10.13, CFL: 9.00e-01
i:   12000, sim time:    114459 (1.82 T_f), wall: 9.029 minutes, Δt:  10.03, CFL: 9.00e-01
i:   12100, sim time:    115368 (1.84 T_f), wall: 9.086 minutes, Δt:   9.67, CFL: 9.00e-01
i:   12200, sim time:    116269 (1.85 T_f), wall: 9.151 minutes, Δt:   9.91, CFL: 9.00e-01
i:   12300, sim time:    117200 (1.87 T_f), wall: 9.201 minutes, Δt:  10.20, CFL: 9.00e-01
i:   12400, sim time:    118120 (1.88 T_f), wall: 9.260 minutes, Δt:   9.96, CFL: 9.00e-01
i:   12500, sim time:    119035 (1.89 T_f), wall: 9.322 minutes, Δt:   9.81, CFL: 9.00e-01
i:   12600, sim time:    119938 (1.91 T_f), wall: 9.372 minutes, Δt:   9.50, CFL: 9.00e-01
i:   12700, sim time:    120840 (1.92 T_f), wall: 9.431 minutes, Δt:  10.19, CFL: 9.00e-01
i:   12800, sim time:    121778 (1.94 T_f), wall: 9.508 minutes, Δt:   9.95, CFL: 9.00e-01
i:   12900, sim time:    122677 (1.95 T_f), wall: 9.565 minutes, Δt:   9.56, CFL: 9.00e-01
i:   13000, sim time:    123600 (1.97 T_f), wall: 9.618 minutes, Δt:   9.76, CFL: 9.00e-01
i:   13100, sim time:    124540 (1.98 T_f), wall: 9.682 minutes, Δt:  10.06, CFL: 9.00e-01
i:   13200, sim time:    125500 (2.00 T_f), wall: 9.741 minutes, Δt:  10.40, CFL: 9.00e-01
i:   13300, sim time:    126479 (2.01 T_f), wall: 9.798 minutes, Δt:   9.85, CFL: 9.00e-01
i:   13400, sim time:    127388 (2.03 T_f), wall: 9.853 minutes, Δt:  10.06, CFL: 9.00e-01
i:   13500, sim time:    128320 (2.04 T_f), wall: 9.914 minutes, Δt:   9.93, CFL: 9.00e-01
i:   13600, sim time:    129259 (2.06 T_f), wall: 9.965 minutes, Δt:   9.75, CFL: 9.00e-01
i:   13700, sim time:    130196 (2.07 T_f), wall: 10.021 minutes, Δt:   9.49, CFL: 9.00e-01
i:   13800, sim time:    131099 (2.09 T_f), wall: 10.074 minutes, Δt:   9.75, CFL: 9.00e-01
i:   13900, sim time:    132020 (2.10 T_f), wall: 10.125 minutes, Δt:  10.17, CFL: 9.00e-01
i:   14000, sim time:    133000 (2.12 T_f), wall: 10.182 minutes, Δt:  10.05, CFL: 9.00e-01
i:   14100, sim time:    133970 (2.13 T_f), wall: 10.233 minutes, Δt:  10.12, CFL: 9.00e-01
i:   14200, sim time:    134910 (2.15 T_f), wall: 10.364 minutes, Δt:  10.14, CFL: 9.00e-01
i:   14300, sim time:    135839 (2.16 T_f), wall: 10.425 minutes, Δt:   9.88, CFL: 9.00e-01
i:   14400, sim time:    136709 (2.18 T_f), wall: 10.483 minutes, Δt:   9.47, CFL: 9.00e-01
i:   14500, sim time:    137663 (2.19 T_f), wall: 10.541 minutes, Δt:  10.13, CFL: 9.00e-01
i:   14600, sim time:    138600 (2.21 T_f), wall: 10.593 minutes, Δt:  10.03, CFL: 9.00e-01
i:   14700, sim time:    139500 (2.22 T_f), wall: 10.653 minutes, Δt:   9.45, CFL: 9.00e-01
i:   14800, sim time:    140419 (2.23 T_f), wall: 10.706 minutes, Δt:   9.85, CFL: 9.00e-01
