
==============================================================================
==== 2026-08-18 12:44:12  Ekman3D.jl
==== MOMENTS=1  PLOTS=0  R=1  SHARP=6  T_STRAT=20
==============================================================================
Dimensions                      75.0 m × 75.0 m × 100.0 m
Grid size                       100 × 100 × 500
Far stream velocity             U∞  = 0.0400
Square buoyancy frequency:      N²  = 1.00e-08,
Coriolis parameter:             f   = 1.00e-04,
Ratio:                          r   = N/f = 1.0
i:   8200, sim time:  56892.463601, wall time: 17.081 minutes, Δt:  7.148292, CFL: 9.00e-01
i:   8300, sim time:  57566.378400, wall time: 17.274 minutes, Δt:  7.500000, CFL: 8.69e-01
i:   8400, sim time:  58266.649354, wall time: 17.468 minutes, Δt:  7.002312, CFL: 9.00e-01
i:   8500, sim time:  58958.642424, wall time: 17.662 minutes, Δt:  7.211394, CFL: 9.00e-01
i:   8600, sim time:  59644.696803, wall time: 17.858 minutes, Δt:  7.464248, CFL: 9.00e-01
i:   8700, sim time:  60318.578949, wall time: 18.052 minutes, Δt:  7.363750, CFL: 9.00e-01
i:   8800, sim time:  61022.500000, wall time: 18.246 minutes, Δt:  7.389899, CFL: 9.00e-01
i:   8900, sim time:  61714.397411, wall time: 18.441 minutes, Δt:  7.138683, CFL: 9.00e-01
i:   9000, sim time:  62407.500000, wall time: 18.637 minutes, Δt:  7.500000, CFL: 8.98e-01
i:   9100, sim time:  63107.500000, wall time: 18.833 minutes, Δt:  7.500000, CFL: 8.85e-01
i:   9200, sim time:  63807.336462, wall time: 19.029 minutes, Δt:  7.500000, CFL: 8.96e-01
i:   9300, sim time:  64496.987495, wall time: 19.225 minutes, Δt:  6.935181, CFL: 9.00e-01
i:   9400, sim time:  65197.500000, wall time: 19.420 minutes, Δt:  7.500000, CFL: 8.83e-01
i:   9500, sim time:  65900.000000, wall time: 19.617 minutes, Δt:  7.500000, CFL: 8.88e-01
i:   9600, sim time:  66609.082237, wall time: 19.812 minutes, Δt:  7.172955, CFL: 9.00e-01
i:   9700, sim time:  67307.129750, wall time: 20.006 minutes, Δt:  7.500000, CFL: 8.92e-01
i:   9800, sim time:  68022.076274, wall time: 20.202 minutes, Δt:  7.500000, CFL: 8.79e-01
i:   9900, sim time:  68736.389791, wall time: 20.397 minutes, Δt:  6.995595, CFL: 9.00e-01
i:  10000, sim time:  69436.697644, wall time: 20.594 minutes, Δt:  7.500000, CFL: 8.82e-01
i:  10100, sim time:  70144.923465, wall time: 20.790 minutes, Δt:  7.456315, CFL: 9.00e-01
i:  10200, sim time:  70828.903313, wall time: 20.985 minutes, Δt:  7.500000, CFL: 8.77e-01
i:  10300, sim time:  71521.209982, wall time: 21.180 minutes, Δt:  7.192317, CFL: 9.00e-01
i:  10400, sim time:  72222.500000, wall time: 21.375 minutes, Δt:  7.500000, CFL: 8.82e-01
i:  10500, sim time:  72930.000000, wall time: 21.571 minutes, Δt:  7.500000, CFL: 8.82e-01
i:  10600, sim time:  73622.500000, wall time: 21.766 minutes, Δt:  7.500000, CFL: 8.90e-01
i:  10700, sim time:  74336.443273, wall time: 21.960 minutes, Δt:  7.500000, CFL: 8.79e-01
i:  10800, sim time:  75034.897266, wall time: 22.156 minutes, Δt:  7.170949, CFL: 9.00e-01
i:  10900, sim time:  75706.646015, wall time: 22.351 minutes, Δt:  6.411037, CFL: 9.00e-01
i:  11000, sim time:  76369.362249, wall time: 22.546 minutes, Δt:  7.054537, CFL: 9.00e-01
i:  11100, sim time:  77060.000000, wall time: 22.742 minutes, Δt:  7.500000, CFL: 8.71e-01
i:  11200, sim time:  77751.947729, wall time: 22.938 minutes, Δt:  7.088827, CFL: 9.00e-01
i:  11300, sim time:  78459.943125, wall time: 23.135 minutes, Δt:  7.424140, CFL: 9.00e-01
i:  11400, sim time:  79152.289100, wall time: 23.331 minutes, Δt:  7.500000, CFL: 8.64e-01
i:  11500, sim time:  79843.944685, wall time: 23.527 minutes, Δt:  7.285042, CFL: 9.00e-01
i:  11600, sim time:  80552.500000, wall time: 23.722 minutes, Δt:  7.500000, CFL: 8.89e-01
i:  11700, sim time:  81245.000000, wall time: 23.918 minutes, Δt:  7.500000, CFL: 8.72e-01
i:  11800, sim time:  81942.290600, wall time: 24.115 minutes, Δt:  6.793894, CFL: 9.00e-01
i:  11900, sim time:  82638.416166, wall time: 24.313 minutes, Δt:  7.015247, CFL: 9.00e-01
i:  12000, sim time:  83330.000000, wall time: 24.507 minutes, Δt:  7.500000, CFL: 8.66e-01
i:  12100, sim time:  84044.138804, wall time: 24.702 minutes, Δt:  7.438623, CFL: 9.00e-01
i:  12200, sim time:  84752.500000, wall time: 24.897 minutes, Δt:  7.500000, CFL: 8.72e-01
i:  12300, sim time:  85436.861540, wall time: 25.091 minutes, Δt:  7.161244, CFL: 9.00e-01
i:  12400, sim time:  86142.134958, wall time: 25.284 minutes, Δt:  7.025487, CFL: 9.00e-01
i:  12500, sim time:  86837.500000, wall time: 25.479 minutes, Δt:  7.342350, CFL: 9.00e-01
i:  12600, sim time:  87536.937230, wall time: 25.674 minutes, Δt:  7.481501, CFL: 9.00e-01
i:  12700, sim time:  88244.928207, wall time: 25.868 minutes, Δt:  7.500000, CFL: 8.77e-01
i:  12800, sim time:  88932.560489, wall time: 26.063 minutes, Δt:  6.619768, CFL: 9.00e-01
i:  12900, sim time:  89644.221957, wall time: 26.257 minutes, Δt:  7.465301, CFL: 9.00e-01
i:  13000, sim time:  90359.947946, wall time: 26.450 minutes, Δt:  7.500000, CFL: 8.95e-01
i:  13100, sim time:  91067.500000, wall time: 26.645 minutes, Δt:  7.500000, CFL: 8.82e-01
i:  13200, sim time:  91779.505485, wall time: 26.839 minutes, Δt:  7.500000, CFL: 8.69e-01
i:  13300, sim time:  92486.305803, wall time: 27.034 minutes, Δt:  7.500000, CFL: 8.94e-01
i:  13400, sim time:  93184.780460, wall time: 27.229 minutes, Δt:  7.258735, CFL: 9.00e-01
i:  13500, sim time:  93895.310964, wall time: 27.424 minutes, Δt:  7.458730, CFL: 9.00e-01
i:  13600, sim time:  94591.938873, wall time: 27.620 minutes, Δt:  7.500000, CFL: 8.92e-01
i:  13700, sim time:  95285.681136, wall time: 27.816 minutes, Δt:  7.037022, CFL: 9.00e-01
i:  13800, sim time:  95982.384435, wall time: 28.010 minutes, Δt:  7.500000, CFL: 8.99e-01
i:  13900, sim time:  96687.094537, wall time: 28.205 minutes, Δt:  7.379479, CFL: 9.00e-01
i:  14000, sim time:  97364.263022, wall time: 28.400 minutes, Δt:  7.416854, CFL: 9.00e-01
i:  14100, sim time:  98031.245051, wall time: 28.596 minutes, Δt:  6.650505, CFL: 9.00e-01
i:  14200, sim time:  98720.957135, wall time: 28.791 minutes, Δt:  7.240637, CFL: 9.00e-01
i:  14300, sim time:  99414.517633, wall time: 28.987 minutes, Δt:  7.500000, CFL: 8.90e-01
i:  14400, sim time:  100100.000000, wall time: 29.180 minutes, Δt:  7.316050, CFL: 9.00e-01
i:  14500, sim time:  100797.500000, wall time: 29.374 minutes, Δt:  7.451019, CFL: 9.00e-01
i:  14600, sim time:  101495.942711, wall time: 29.569 minutes, Δt:  7.444662, CFL: 9.00e-01
i:  14700, sim time:  102200.000000, wall time: 29.764 minutes, Δt:  7.393523, CFL: 9.00e-01
i:  14800, sim time:  102896.246323, wall time: 29.960 minutes, Δt:  7.500000, CFL: 8.92e-01
i:  14900, sim time:  103600.000000, wall time: 30.154 minutes, Δt:  7.400607, CFL: 9.00e-01
i:  15000, sim time:  104308.376099, wall time: 30.351 minutes, Δt:  7.336929, CFL: 9.00e-01
i:  15100, sim time:  105007.500000, wall time: 30.546 minutes, Δt:  7.445637, CFL: 9.00e-01
i:  15200, sim time:  105722.500000, wall time: 30.740 minutes, Δt:  7.500000, CFL: 8.87e-01
i:  15300, sim time:  106430.000000, wall time: 30.934 minutes, Δt:  7.459144, CFL: 9.00e-01
i:  15400, sim time:  107128.090849, wall time: 31.129 minutes, Δt:  6.873611, CFL: 9.00e-01
i:  15500, sim time:  107830.000000, wall time: 31.325 minutes, Δt:  7.447836, CFL: 9.00e-01
i:  15600, sim time:  108537.500000, wall time: 31.520 minutes, Δt:  7.500000, CFL: 9.00e-01
i:  15700, sim time:  109234.669924, wall time: 31.716 minutes, Δt:  7.340976, CFL: 9.00e-01
i:  15800, sim time:  109950.431789, wall time: 31.910 minutes, Δt:  7.500000, CFL: 8.98e-01
i:  15900, sim time:  110637.500000, wall time: 32.105 minutes, Δt:  7.500000, CFL: 8.59e-01
i:  16000, sim time:  111335.245180, wall time: 32.299 minutes, Δt:  7.500000, CFL: 8.64e-01
i:  16100, sim time:  112051.892045, wall time: 32.495 minutes, Δt:  7.467396, CFL: 9.00e-01
i:  16200, sim time:  112743.743207, wall time: 32.690 minutes, Δt:  7.149200, CFL: 9.00e-01
i:  16300, sim time:  113441.494795, wall time: 32.885 minutes, Δt:  7.500000, CFL: 8.79e-01
i:  16400, sim time:  114142.903216, wall time: 33.078 minutes, Δt:  6.894105, CFL: 9.00e-01
i:  16500, sim time:  114822.500000, wall time: 33.274 minutes, Δt:  7.264272, CFL: 9.00e-01
i:  16600, sim time:  115529.812531, wall time: 33.468 minutes, Δt:  7.500000, CFL: 8.93e-01
i:  16700, sim time:  116222.262463, wall time: 33.664 minutes, Δt:  7.241474, CFL: 9.00e-01
i:  16800, sim time:  116914.595721, wall time: 33.859 minutes, Δt:  7.291825, CFL: 9.00e-01
i:  16900, sim time:  117606.766946, wall time: 34.054 minutes, Δt:  7.162700, CFL: 9.00e-01
i:  17000, sim time:  118307.450383, wall time: 34.248 minutes, Δt:  7.129728, CFL: 9.00e-01
i:  17100, sim time:  119000.000000, wall time: 34.442 minutes, Δt:  7.500000, CFL: 8.69e-01
i:  17200, sim time:  119707.373175, wall time: 34.638 minutes, Δt:  7.500000, CFL: 8.96e-01
i:  17300, sim time:  120407.301136, wall time: 34.832 minutes, Δt:  7.095080, CFL: 9.00e-01
i:  17400, sim time:  121115.000000, wall time: 35.025 minutes, Δt:  7.500000, CFL: 8.80e-01
i:  17500, sim time:  121822.500000, wall time: 35.220 minutes, Δt:  7.500000, CFL: 9.00e-01
i:  17600, sim time:  122521.422693, wall time: 35.414 minutes, Δt:  7.500000, CFL: 8.87e-01
i:  17700, sim time:  123213.646922, wall time: 35.609 minutes, Δt:  6.548417, CFL: 9.00e-01
i:  17800, sim time:  123914.382293, wall time: 35.803 minutes, Δt:  7.493509, CFL: 9.00e-01
i:  17900, sim time:  124607.299239, wall time: 35.998 minutes, Δt:  7.433911, CFL: 9.00e-01
i:  18000, sim time:  125279.135627, wall time: 36.193 minutes, Δt:  7.108035, CFL: 9.00e-01
i:  18100, sim time:  125957.341907, wall time: 36.387 minutes, Δt:  7.047694, CFL: 9.00e-01
i:  18200, sim time:  126651.183940, wall time: 36.582 minutes, Δt:  7.500000, CFL: 8.76e-01
i:  18300, sim time:  127358.097515, wall time: 36.775 minutes, Δt:  7.500000, CFL: 8.78e-01
i:  18400, sim time:  128051.852215, wall time: 36.969 minutes, Δt:  7.389869, CFL: 9.00e-01
i:  18500, sim time:  128750.911940, wall time: 37.162 minutes, Δt:  7.451641, CFL: 9.00e-01
i:  18600, sim time:  129448.617328, wall time: 37.356 minutes, Δt:  7.173457, CFL: 9.00e-01
i:  18700, sim time:  130144.139411, wall time: 37.549 minutes, Δt:  7.226054, CFL: 9.00e-01
i:  18800, sim time:  130833.828996, wall time: 37.743 minutes, Δt:  7.043030, CFL: 9.00e-01
i:  18900, sim time:  131520.579068, wall time: 37.937 minutes, Δt:  7.159486, CFL: 9.00e-01
i:  19000, sim time:  132230.000000, wall time: 38.131 minutes, Δt:  7.500000, CFL: 8.91e-01
i:  19100, sim time:  132907.261734, wall time: 38.325 minutes, Δt:  7.227552, CFL: 9.00e-01
i:  19200, sim time:  133600.000000, wall time: 38.519 minutes, Δt:  7.500000, CFL: 8.86e-01
i:  19300, sim time:  134300.000000, wall time: 38.715 minutes, Δt:  7.441550, CFL: 9.00e-01
i:  19400, sim time:  134996.076350, wall time: 38.910 minutes, Δt:  7.438607, CFL: 9.00e-01
i:  19500, sim time:  135695.092197, wall time: 39.104 minutes, Δt:  7.221575, CFL: 9.00e-01
i:  19600, sim time:  136382.621166, wall time: 39.297 minutes, Δt:  7.446238, CFL: 9.00e-01
i:  19700, sim time:  137080.524261, wall time: 39.492 minutes, Δt:  7.215627, CFL: 9.00e-01
i:  19800, sim time:  137759.433060, wall time: 39.685 minutes, Δt:  7.500000, CFL: 8.98e-01
i:  19900, sim time:  138450.308896, wall time: 39.880 minutes, Δt:  6.771894, CFL: 9.00e-01
i:  20000, sim time:  139149.614490, wall time: 40.073 minutes, Δt:  7.437425, CFL: 9.00e-01
i:  20100, sim time:  139845.409296, wall time: 40.268 minutes, Δt:  7.397591, CFL: 9.00e-01
i:  20200, sim time:  140544.935125, wall time: 40.464 minutes, Δt:  7.500000, CFL: 8.80e-01
i:  20300, sim time:  141255.784079, wall time: 40.659 minutes, Δt:  7.021315, CFL: 9.00e-01
i:  20400, sim time:  141928.197936, wall time: 40.854 minutes, Δt:  7.136657, CFL: 9.00e-01
i:  20500, sim time:  142615.000000, wall time: 41.048 minutes, Δt:  7.500000, CFL: 8.45e-01
i:  20600, sim time:  143315.000000, wall time: 41.242 minutes, Δt:  7.500000, CFL: 8.88e-01
i:  20700, sim time:  144013.431070, wall time: 41.436 minutes, Δt:  6.909484, CFL: 9.00e-01
i:  20800, sim time:  144715.000000, wall time: 41.630 minutes, Δt:  7.491560, CFL: 9.00e-01
i:  20900, sim time:  145430.000000, wall time: 41.824 minutes, Δt:  7.479230, CFL: 9.00e-01
i:  21000, sim time:  146115.000000, wall time: 42.018 minutes, Δt:  7.457690, CFL: 9.00e-01
i:  21100, sim time:  146814.309190, wall time: 42.211 minutes, Δt:  7.156169, CFL: 9.00e-01
i:  21200, sim time:  147522.052311, wall time: 42.405 minutes, Δt:  7.229507, CFL: 9.00e-01
i:  21300, sim time:  148214.527775, wall time: 42.598 minutes, Δt:  7.483160, CFL: 9.00e-01
i:  21400, sim time:  148911.491780, wall time: 42.790 minutes, Δt:  7.500000, CFL: 8.89e-01
i:  21500, sim time:  149600.000000, wall time: 42.984 minutes, Δt:  7.500000, CFL: 8.78e-01
i:  21600, sim time:  150294.531739, wall time: 43.177 minutes, Δt:  7.181350, CFL: 9.00e-01
i:  21700, sim time:  150978.274147, wall time: 43.372 minutes, Δt:  6.995862, CFL: 9.00e-01
i:  21800, sim time:  151675.000000, wall time: 43.568 minutes, Δt:  7.492392, CFL: 9.00e-01
i:  21900, sim time:  152367.243699, wall time: 43.763 minutes, Δt:  7.265511, CFL: 9.00e-01
i:  22000, sim time:  153082.500000, wall time: 43.958 minutes, Δt:  7.500000, CFL: 8.95e-01
i:  22100, sim time:  153769.144112, wall time: 44.154 minutes, Δt:  7.327370, CFL: 9.00e-01
i:  22200, sim time:  154472.277578, wall time: 44.350 minutes, Δt:  7.368425, CFL: 9.00e-01
i:  22300, sim time:  155165.525923, wall time: 44.544 minutes, Δt:  7.500000, CFL: 8.85e-01
i:  22400, sim time:  155867.995618, wall time: 44.739 minutes, Δt:  7.423456, CFL: 9.00e-01
i:  22500, sim time:  156581.258137, wall time: 44.934 minutes, Δt:  7.139960, CFL: 9.00e-01
i:  22600, sim time:  157273.802406, wall time: 45.128 minutes, Δt:  7.145471, CFL: 9.00e-01
i:  22700, sim time:  157956.899880, wall time: 45.324 minutes, Δt:  6.959512, CFL: 9.00e-01
i:  22800, sim time:  158635.180528, wall time: 45.519 minutes, Δt:  7.310018, CFL: 9.00e-01
i:  22900, sim time:  159344.953168, wall time: 45.714 minutes, Δt:  7.384701, CFL: 9.00e-01
i:  23000, sim time:  160042.070213, wall time: 45.908 minutes, Δt:  7.398431, CFL: 9.00e-01
i:  23100, sim time:  160757.730132, wall time: 46.103 minutes, Δt:  7.500000, CFL: 8.83e-01
i:  23200, sim time:  161472.674219, wall time: 46.298 minutes, Δt:  7.500000, CFL: 8.94e-01
i:  23300, sim time:  162180.731932, wall time: 46.493 minutes, Δt:  7.239391, CFL: 9.00e-01
i:  23400, sim time:  162888.311542, wall time: 46.689 minutes, Δt:  7.500000, CFL: 8.76e-01
i:  23500, sim time:  163600.000000, wall time: 46.883 minutes, Δt:  7.441932, CFL: 9.00e-01
i:  23600, sim time:  164286.640743, wall time: 47.077 minutes, Δt:  7.500000, CFL: 8.99e-01
i:  23700, sim time:  164999.454065, wall time: 47.270 minutes, Δt:  7.032571, CFL: 9.00e-01
i:  23800, sim time:  165666.046992, wall time: 47.464 minutes, Δt:  7.275967, CFL: 9.00e-01
i:  23900, sim time:  166359.258264, wall time: 47.657 minutes, Δt:  7.054626, CFL: 9.00e-01
i:  24000, sim time:  167049.340387, wall time: 47.853 minutes, Δt:  7.195536, CFL: 9.00e-01
