================ Case Ri0 : simulation ================
i:   9200, t:    54527.2 s (1.22 periods), wall: 1.240 hours, Δt:   3.88, CFL: 7.20e-01
i:   9300, t:    54918.7 s (1.23 periods), wall: 1.251 hours, Δt:   3.78, CFL: 7.20e-01
i:   9400, t:    55299.5 s (1.24 periods), wall: 1.262 hours, Δt:   3.82, CFL: 7.20e-01
i:   9500, t:    55670.8 s (1.25 periods), wall: 1.273 hours, Δt:   3.74, CFL: 7.20e-01
i:   9600, t:    56037.8 s (1.26 periods), wall: 1.284 hours, Δt:   3.67, CFL: 7.20e-01
i:   9700, t:    56384.8 s (1.26 periods), wall: 1.295 hours, Δt:   3.27, CFL: 7.20e-01
i:   9800, t:    56714.2 s (1.27 periods), wall: 1.306 hours, Δt:   3.64, CFL: 7.20e-01
i:   9900, t:    57076.2 s (1.28 periods), wall: 1.317 hours, Δt:   3.66, CFL: 7.20e-01
i:  10000, t:    57450.9 s (1.29 periods), wall: 1.329 hours, Δt:   3.86, CFL: 7.20e-01
i:  10100, t:    57816.0 s (1.30 periods), wall: 1.340 hours, Δt:   3.59, CFL: 7.20e-01
i:  10200, t:    58185.7 s (1.30 periods), wall: 1.350 hours, Δt:   3.78, CFL: 7.20e-01
i:  10300, t:    58540.9 s (1.31 periods), wall: 1.361 hours, Δt:   3.56, CFL: 7.20e-01
i:  10400, t:    58912.7 s (1.32 periods), wall: 1.372 hours, Δt:   3.73, CFL: 7.20e-01
i:  10500, t:    59301.5 s (1.33 periods), wall: 1.383 hours, Δt:   4.07, CFL: 7.20e-01
i:  10600, t:    59718.5 s (1.34 periods), wall: 1.394 hours, Δt:   4.27, CFL: 7.20e-01
i:  10700, t:    60146.6 s (1.35 periods), wall: 1.404 hours, Δt:   4.40, CFL: 7.20e-01
i:  10800, t:    60581.4 s (1.36 periods), wall: 1.416 hours, Δt:   4.21, CFL: 7.20e-01
i:  10900, t:    61004.9 s (1.37 periods), wall: 1.427 hours, Δt:   4.13, CFL: 7.20e-01
i:  11000, t:    61430.1 s (1.38 periods), wall: 1.438 hours, Δt:   4.59, CFL: 7.20e-01
i:  11100, t:    61865.1 s (1.39 periods), wall: 1.449 hours, Δt:   4.31, CFL: 7.20e-01
i:  11200, t:    62315.9 s (1.40 periods), wall: 1.460 hours, Δt:   4.84, CFL: 7.20e-01
i:  11300, t:    62801.8 s (1.41 periods), wall: 1.471 hours, Δt:   5.14, CFL: 7.20e-01
i:  11400, t:    63315.0 s (1.42 periods), wall: 1.482 hours, Δt:   5.27, CFL: 7.20e-01
i:  11500, t:    63862.7 s (1.43 periods), wall: 1.492 hours, Δt:   5.49, CFL: 7.20e-01
i:  11600, t:    64421.5 s (1.44 periods), wall: 1.503 hours, Δt:   5.84, CFL: 7.20e-01
i:  11700, t:    65061.1 s (1.46 periods), wall: 1.514 hours, Δt:   7.49, CFL: 7.20e-01
i:  11800, t:    65815.0 s (1.47 periods), wall: 1.525 hours, Δt:   8.23, CFL: 7.20e-01
i:  11900, t:    66700.8 s (1.49 periods), wall: 1.536 hours, Δt:   9.54, CFL: 7.20e-01
i:  12000, t:    67559.8 s (1.51 periods), wall: 1.547 hours, Δt:   7.71, CFL: 7.20e-01
i:  12100, t:    68280.1 s (1.53 periods), wall: 1.557 hours, Δt:   7.00, CFL: 7.20e-01
i:  12200, t:    68968.8 s (1.55 periods), wall: 1.568 hours, Δt:   6.81, CFL: 7.20e-01
i:  12300, t:    69624.7 s (1.56 periods), wall: 1.579 hours, Δt:   6.30, CFL: 7.20e-01
i:  12400, t:    70205.4 s (1.57 periods), wall: 1.590 hours, Δt:   5.77, CFL: 7.20e-01
i:  12500, t:    70777.8 s (1.59 periods), wall: 1.598 hours, Δt:   5.89, CFL: 7.20e-01
i:  12600, t:    71350.6 s (1.60 periods), wall: 1.605 hours, Δt:   5.79, CFL: 7.20e-01
